DATE,NROU
1989-07-01,5.772478912
1989-10-01,5.757444482
1990-01-01,5.742207317999999
1990-04-01,5.726720155
1990-07-01,5.710940989
1990-10-01,5.69483418
1991-01-01,5.678371385
1991-04-01,5.66153232
1991-07-01,5.6443053160000005
1991-10-01,5.626687688
1992-01-01,5.608685893
1992-04-01,5.590315487000001
1992-07-01,5.571600887000001
1992-10-01,5.552574942000001
1993-01-01,5.533867141
1993-04-01,5.514244935
1993-07-01,5.494440311
1993-10-01,5.474514515
1994-01-01,5.454533028999999
1994-04-01,5.434564342000001
1994-07-01,5.414678681
1994-10-01,5.3949467229999994
1995-01-01,5.375438342000001
1995-04-01,5.356221389
1995-07-01,5.337360547
1995-10-01,5.318916294
1996-01-01,5.300943972
1996-04-01,5.283493
1996-07-01,5.26660624
1996-10-01,5.250319523
1997-01-01,5.234661349
1997-04-01,5.219652759
1997-07-01,5.205307376
1997-10-01,5.191631613
1998-01-01,5.178625042
1998-04-01,5.166280901
1998-07-01,5.154586724
1998-10-01,5.143525089
1999-01-01,5.133074442
1999-04-01,5.123209982
1999-07-01,5.1139045869999995
1999-10-01,5.105129749
2000-01-01,5.096856488999999
2000-04-01,5.089056238
2000-07-01,5.081701651
2000-10-01,5.07476733
2001-01-01,5.068230454
2001-04-01,5.062071269
2001-07-01,5.056273458
2001-10-01,5.050824352
2002-01-01,5.045714998999999
2002-04-01,5.0409400710000005
2002-07-01,5.036497622
2002-10-01,5.032388701
2003-01-01,5.028616825
2003-04-01,5.025187331000001
2003-07-01,5.022106626
2003-10-01,5.019381339
2004-01-01,5.017017429
2004-04-01,5.015019231
2004-07-01,5.013388508999999
2004-10-01,5.012123508999999
2005-01-01,5.011218059
2005-04-01,5.01066073
2005-07-01,5.010434094
2005-10-01,5.01051409
2006-01-01,5.010869535
2006-04-01,5.011461778999999
2006-07-01,5.012244536
2006-10-01,5.0131638910000005
2007-01-01,5.0141584980000005
2007-04-01,5.015159963
2007-07-01,5.016093422
2007-10-01,5.016878297
2008-01-01,5.017429226
2008-04-01,5.017657154
2008-07-01,5.0174705610000006
2008-10-01,5.016776812
2009-01-01,5.015483596
2009-04-01,5.013500434
2009-07-01,5.01074023
2009-10-01,5.0071208160000005
2010-01-01,5.0025664789999995
2010-04-01,4.997009431
2010-07-01,4.9903911910000005
2010-10-01,4.982663843
2011-01-01,4.973791157
2011-04-01,4.963749528999999
2011-07-01,4.95252874
2011-10-01,4.940132488
2012-01-01,4.926578709
2012-04-01,4.911899646
2012-07-01,4.89614169
2012-10-01,4.879364966
2013-01-01,4.861642687
2013-04-01,4.843060274
2013-07-01,4.823714263
2013-10-01,4.8037110069999995
2014-01-01,4.7831652039999994
2014-04-01,4.762198273
2014-07-01,4.740936606
2014-10-01,4.719509728999999
2015-01-01,4.698048397
2015-04-01,4.676682672
2015-07-01,4.655540006
2015-10-01,4.634743367
2016-01-01,4.614409445
2016-04-01,4.594646968999999
2016-07-01,4.575555157
2016-10-01,4.5572223460000005
2017-01-01,4.539724801
2017-04-01,4.523125741
2017-07-01,4.507474599
2017-10-01,4.492806508
2018-01-01,4.479142049
2018-04-01,4.466487238
2018-07-01,4.454833762
2018-10-01,4.444159456
2019-01-01,4.434429008
2019-04-01,4.425594874
2019-07-01,4.4175983819999995
2019-10-01,4.410371013
2020-01-01,4.403835815
2020-04-01,4.3979089369999995
2020-07-01,4.392501241000001
2020-10-01,4.387519967
2021-01-01,4.3863704210000005
2021-04-01,4.380997848
2021-07-01,4.375862369
2021-10-01,4.370967225
2022-01-01,4.366320029
2022-04-01,4.361905793
2022-07-01,4.357603227
2022-10-01,4.353270628
2023-01-01,4.348774995
2023-04-01,4.3440027169999995
2023-07-01,4.338890148
2023-10-01,4.333393686
2024-01-01,4.327479745
2024-04-01,4.321120484
2024-07-01,4.322554381000001
2024-10-01,4.321673018
2025-01-01,4.320248166
2025-04-01,4.318227512
2025-07-01,4.315607994
2025-10-01,4.312406028
2026-01-01,4.308657724
